"Symbol","Name","Stock Exchange","RBICS Economy","Closing Price","Market Value","Sales","Price / Book Value"
"AMRX","Amneal Pharmaceuticals, Inc. Class A","NASDAQ","Healthcare",8.47,2621.82592616265,2597.992,94.07935
"LFMD","LifeMD, Inc.","NASDAQ","Healthcare",5.44,234.294637474186,178.279867,90.47255
"SWIN","Solowin Holdings","NASDAQ","Finance",2.8,43.3999992609024,0.548405484653926,84.55682
"BCG","Binah Capital Group, Inc.","NASDAQ","Finance",3.5,58.1086130142212,239.92,82.92667
"PI","Impinj, Inc.","NASDAQ","Technology",162.5,4568.85452270508,314.976,71.65768
"EXTR","Extreme Networks, Inc.","NASDAQ","Technology",15.03,1958.96951704555,1117.203,69.31203
"GVH","Globavend Holdings Ltd.","NASDAQ","Industrials",0.6301,9.21521267294884,12.3679424024628,58.79642
"NWGL","Nature Wood Group Limited Sponsored ADR","NASDAQ","Non-Energy Materials",1.65,218.501776492734,25.434646267151,58.26657
"HALO","Halozyme Therapeutics, Inc.","NASDAQ","Healthcare",62.16,7874.32209492824,873.304,55.90682
"VVOS","Vivos Therapeutics, Inc.","NASDAQ","Healthcare",2.905,9.8813227335981,14.021,55.50598
"APPN","Appian Corporation Class A","NASDAQ","Technology",31.79,2300.00068354375,578.698,52.78798
"WMG","Warner Music Group Corp. Class A","NASDAQ","Consumer Services",29.25,15149.1335421753,6382,52.77577
"CLBT","Cellebrite DI Ltd.","NASDAQ","Business Services",16.77,3482.02283186372,362.488,51.44351
"TBIO","Telesis Bio, Inc.","NASDAQ","Healthcare",3.4,6.02801656941853,16.28,50.4
"CELH","Celsius Holdings, Inc.","NASDAQ","Consumer Non-Cyclicals",40.13,9353.00473090721,1489.877,47.86025
"MANH","Manhattan Associates, Inc.","NASDAQ","Technology",261.39,16009.0784546449,996.566,47.63728
"EVOJ","Evo Acquisition Corp. Class A","NASDAQ","Finance","NA","NA",0,47.31731
"SDA","SunCar Technology Group Inc. Class A","NASDAQ","Consumer Cyclicals",9.89,887.183047589438,363.746000000063,46.03024
"ATLX","Atlas Lithium Corporation","NASDAQ","Non-Energy Materials",11.79,179.795048265465,0.373905924727742,44.90446
"TEAM","Atlassian Corp Class A","NASDAQ","Technology",165.02,42909.8255065465,4358.6030000104,44.62137
"BPMC","Blueprint Medicines Corp.","NASDAQ","Healthcare",95.08,6022.88708162622,362.796,43.18393
"AAPL","Apple Inc.","NASDAQ","Technology",227.18,3454075.6684072,385603,42.83988
"PET","Wag! Group Co.","NASDAQ","Technology",0.8748,42.6966445113781,85.343,42.13134
"INBX.1","Inhibrx, Inc.","NASDAQ","Healthcare","NA","NA",1.783,41.37721
"BDSX","Biodesix, Inc.","NASDAQ","Healthcare",1.9,275.836532183239,60.902,38.66359
"SOUN","SoundHound AI, Inc Class A","NASDAQ","Technology",5,1793.66345967773,55.471,38.58053
"PWM","Prestige Wealth, Inc. Class A","NASDAQ","Finance",1.43,13.0844989745617,0.0445071652719704,38.48383
"APLS","Apellis Pharmaceuticals, Inc.","NASDAQ","Healthcare",39.835,4850.56152075226,628.786,36.79096
"ESTA","Establishment Labs Holdings, Inc.","NASDAQ","Healthcare",46.08,1287.63804921301,149.521035954666,36.71611
"SPPL","Simpple Ltd.","NASDAQ","Industrials",0.3802,6.16911061026798,3.48949723494356,35.66687
"MRNS","Marinus Pharmaceuticals Inc","NASDAQ","Healthcare",1.47,80.9735371136867,30.263,35.38757
"NVDA","NVIDIA Corporation","NASDAQ","Technology",126.46,3110915.97747803,79774,34.99002
"GSHD","Goosehead Insurance, Inc. Class A","NASDAQ","Finance",83,3067.36780393982,276.592,33.46342
"BNTC","Benitec Biopharma Inc","NASDAQ","Healthcare",9.25,93.2965979576111,0.0063544705383584,33.0359
"KLAC","KLA Corporation","NASDAQ","Technology",798.97,107401.552941345,9793.873,32.90498
"ZS","Zscaler, Inc.","NASDAQ","Technology",197.82,29900.3148085261,2029.909,32.55079
"GOGO","Gogo Inc.","NASDAQ","Telecommunications",7.9,1002.92361211322,402.14,31.95382
"SLN","Silence Therapeutics PLC Sponsored ADR","NASDAQ","Healthcare",18.29,853.41032359461,22.6450814549306,31.65895
"IDXX","IDEXX Laboratories, Inc.","NASDAQ","Healthcare",484.07,39841.8178935521,3784.801,31.04478
"PPYA","Papaya Growth Opportunity Corp. I Class A","NASDAQ","Finance",11.05,106.134192963582,0,30.91097
"TMC","TMC the metals company Inc.","NASDAQ","Non-Energy Materials",1.06,343.432605972688,0,30.8902
"CRWD","CrowdStrike Holdings, Inc. Class A","NASDAQ","Technology",265.87,64702.2935492741,3284.011,30.70618
"TCX","Tucows Inc.","NASDAQ","Technology",23.76,260.83287917583,350.809,29.81185
"ADSK","Autodesk, Inc.","NASDAQ","Technology",256.21,55215.4346340215,5603,29.28052
"BIGC","BigCommerce Holdings Inc","NASDAQ","Technology",6.05,470.405977964983,324.383,29.11779
"MDB","MongoDB, Inc. Class A","NASDAQ","Technology",246,18044.2704162598,1765.292,27.25412
"RACY","Relativity Acquisition Corp. Class A","NASDAQ","Finance","NA","NA",0,27.22421
"ATEC","Alphatec Holdings, Inc.","NASDAQ","Healthcare",5.94,834.330997722231,540.282,26.93405
"FCUV","Focus Universal, Inc.","NASDAQ","Business Services",0.186,12.0654035911688,0.839623,26.67154
"FTAI","FTAI Aviation Ltd.","NASDAQ","Finance",122.15,12485.1220874197,1389.41,26.5507
"MEOA","Minority Equality Opportunities Acquisition, Inc. Class A","NASDAQ","Finance","NA","NA",0,26.03526
"FOLD","Amicus Therapeutics, Inc.","NASDAQ","Healthcare",11.65,3455.2843656193,455.655,26.00997
"MELI","MercadoLibre, Inc.","NASDAQ","Consumer Non-Cyclicals",2004.7,101633.150052539,17711.1880484816,25.94369
"VERB","Verb Technology Company, Inc.","NASDAQ","Technology",0.0773,11.254676243298,0.102,25.19766
"RGC","Regencell Bioscience Holdings Ltd.","NASDAQ","Healthcare",8.16,106.184984739248,0,25.14332
"RVPH","Reviva Pharmaceuticals Holdings, Inc.","NASDAQ","Healthcare",0.9935,32.8784471506488,0,25.14157
"AMGN","Amgen Inc.","NASDAQ","Healthcare",326.78,175588.443042811,30736,24.7442
"ARM","ARM Holdings PLC ADR","NASDAQ","Technology",128.9,140243.193359375,3497,24.55729
